Sample Name	Acquisition Date & Time	Component Name	Area	IS Area	IS Name	Area Ratio	Retention Time	IS Retention Time
S0001QC_C2	01/11/2013 03:53:46	2-LG-Q	26853.669531229	29355.921262557	2AG-ISTD	0.914761600940811	4.72349657605089	4.63163231904239
S0001QC_C2	01/11/2013 03:53:46	1-LG-Q	204267.016519856	29355.921262557	2AG-ISTD	6.95810275184204	4.95523283336294	4.63163231904239
S0001QC_C2	01/11/2013 03:53:46	1-OG-Q	968033.815999998	29355.921262557	2AG-ISTD	32.9759644516664	6.19991690261305	4.63163231904239
S0036_A1	01/11/2013 04:06:29	2-LG-Q	11274.2062890282	36856.2608071016	2AG-ISTD	0.905896638512388	4.71373285497744	4.62976001633263
S0036_A1	01/11/2013 04:06:29	1-LG-Q	84683.9364705284	36856.2608071016	2AG-ISTD	2.29784396506685	4.95409246662394	4.62976001633263
S0036_A1	01/11/2013 04:06:29	1-OG-Q	622026.406500001	36856.2608071016	2AG-ISTD	16.8770893432615	6.1990968467347	4.62976001633263
S0035_A1	01/11/2013 04:19:09	2-LG-Q	9512.84922901829	29457.6224054704	2AG-ISTD	0.92293336841916	4.72354919936488	4.62679638779996
S0035_A1	01/11/2013 04:19:09	1-LG-Q	80855.4520063094	29457.6224054704	2AG-ISTD	2.74480577194493	4.95595160300955	4.62679638779996
S0035_A1	01/11/2013 04:19:09	1-OG-Q	590006.079	29457.6224054704	2AG-ISTD	20.0289952420068	6.20004294992655	4.62679638779996
S0042_A1	01/11/2013 04:31:51	2-LG-Q	31734.9019064849	29654.0433927601	2AG-ISTD	7.07015092296765	4.72407798310038	4.62982524220885
S0042_A1	01/11/2013 04:31:51	1-LG-Q	234933.23584909	29654.0433927601	2AG-ISTD	7.92267121003975	4.95770914056167	4.62982524220885
S0042_A1	01/11/2013 04:31:51	1-OG-Q	1921075.02800001	29654.0433927601	2AG-ISTD	64.7829033820404	6.19934387873982	4.62982524220885
S0031_A1	01/11/2013 04:44:32	2-LG-Q	22037.9865562307	34250.6667016181	2AG-ISTD	0.643239641089668	4.72115107853424	4.63135742218027
